11-24 19:29:28: Training starting...
11-24 19:29:28: New best reward 15.7 (-100.0%) at episode 0, saving model...
11-24 19:29:28: New best reward 25.2 (+61.0%) at episode 1, saving model...
11-24 19:29:28: New best reward 42.7 (+69.3%) at episode 10, saving model...
11-24 19:29:29: New best reward 42.9 (+0.5%) at episode 22, saving model...
11-24 19:29:29: New best reward 44.1 (+2.7%) at episode 27, saving model...
11-24 19:29:29: New best reward 44.4 (+0.8%) at episode 36, saving model...
11-24 19:29:29: New best reward 49.4 (+11.2%) at episode 65, saving model...
11-24 19:29:30: New best reward 77.9 (+57.7%) at episode 158, saving model...
11-24 19:29:31: New best reward 100.7 (+29.3%) at episode 213, saving model...
11-24 19:29:33: New best reward 101.0 (+0.3%) at episode 351, saving model...
11-24 19:29:33: New best reward 103.2 (+2.2%) at episode 369, saving model...
11-24 19:29:34: New best reward 119.9 (+16.1%) at episode 420, saving model...
11-24 19:29:34: New best reward 146.1 (+21.9%) at episode 449, saving model...
11-24 19:29:35: New best reward 184.8 (+26.5%) at episode 525, saving model...
11-24 19:29:37: New best reward 219.8 (+19.0%) at episode 614, saving model...
11-24 19:29:38: New best reward 326.7 (+48.6%) at episode 653, saving model...
11-24 19:29:39: New best reward 423.1 (+29.5%) at episode 674, saving model...
11-24 19:29:42: New best reward 689.3 (+62.9%) at episode 803, saving model...
11-24 19:29:42: New best reward 826.7 (+19.9%) at episode 808, saving model...
11-24 19:29:43: New best reward 884.3 (+7.0%) at episode 814, saving model...
11-24 19:29:43: New best reward 1078.0 (+21.9%) at episode 815, saving model...
11-24 19:29:45: New best reward 1705.1 (+58.2%) at episode 820, saving model...
11-24 19:29:53: New best reward 2159.6 (+26.7%) at episode 881, saving model...
11-24 19:29:59: New best reward 2581.5 (+19.5%) at episode 966, saving model...
11-24 19:30:01: New best reward 4595.8 (+78.0%) at episode 967, saving model...
11-24 19:30:43: New best reward 16584.5 (+260.9%) at episode 1108, saving model...
11-24 19:33:43: New best reward 69606.4 (+319.7%) at episode 4490, saving model...
