11-24 19:15:45: Training starting...
11-24 19:15:45: New best reward 48.5 (-100.0%) at episode 0, saving model...
11-24 19:15:46: New best reward 105.8 (+118.2%) at episode 38, saving model...
11-24 19:15:48: New best reward 132.6 (+25.3%) at episode 156, saving model...
11-24 19:15:51: New best reward 136.1 (+2.6%) at episode 254, saving model...
11-24 19:16:00: New best reward 307.9 (+126.3%) at episode 661, saving model...
11-24 19:16:00: New best reward 316.7 (+2.9%) at episode 665, saving model...
11-24 19:16:01: New best reward 1588.1 (+401.5%) at episode 667, saving model...
11-24 19:16:02: New best reward 2864.7 (+80.4%) at episode 668, saving model...
11-24 19:16:27: New best reward 47370.1 (+1553.6%) at episode 671, saving model...
